[2026-03-23T18:29:20.046Z] === Scrape started ===
[2026-03-23T18:37:54.205Z] [42/425] OK "Elon Musk and The Early Days of SpaceX" (112 segments)
[2026-03-23T18:38:02.480Z] [43/425] OK "Founders - Steve Jobs  and Edwin Land" (112 segments)
[2026-03-23T18:38:10.777Z] [44/425] OK "Rockefeller's Autobiography" (95 segments)
[2026-03-23T18:38:19.023Z] [45/425] OK "Inside the Contrarian Mind of Sam Zell" (91 segments)
[2026-03-23T18:38:27.275Z] [46/425] OK "Mr. Beast Leaked Memo" (84 segments)
[2026-03-23T18:38:35.616Z] [47/425] OK "Nick Sleep's Letters: The Full Collection of the Nomad Investment Partnership Letters to Partners" (96 segments)
[2026-03-23T18:38:43.890Z] [48/425] OK "Nick & Zak's Excellent Adventure: How Nick Sleep and Qais Zaharia Built Their Investment Partnership" (77 segments)
[2026-03-23T18:38:52.226Z] [49/425] OK "Li Lu and Charlie Munger and Warren Buffett" (148 segments)
[2026-03-23T18:39:00.526Z] [50/425] OK "Li Lu" (65 segments)
[2026-03-23T18:39:08.845Z] [51/425] OK "Estée Lauder" (98 segments)
[2026-03-23T18:39:17.195Z] [52/425] OK "Robert Kierlin: Founder of Fastenal" (100 segments)
[2026-03-23T18:39:25.557Z] [53/425] OK "The Russian Rockefellers: The Nobel Family Dynasty" (103 segments)
[2026-03-23T18:39:33.824Z] [54/425] OK "I had dinner with John Mackey, Founder of Whole Foods" (163 segments)
[2026-03-23T18:39:42.106Z] [55/425] OK "Haruki Murakami" (99 segments)
[2026-03-23T18:39:50.422Z] [56/425] OK "How The Sun Rose On Silicon Valley: Bob Noyce (Founder of Intel)" (96 segments)
[2026-03-23T18:39:58.755Z] [57/425] OK "Rare Bernard Arnault Interview" (72 segments)
[2026-03-23T18:40:07.064Z] [58/425] OK "Sam Walton: The Inside Story of America's Richest Man" (174 segments)
[2026-03-23T18:40:15.395Z] [59/425] OK "How To Be Rich by J. Paul Getty" (105 segments)
[2026-03-23T18:40:23.677Z] [60/425] OK "J. Paul Getty: The Richest Private Citizen in America" (152 segments)
[2026-03-23T18:40:31.944Z] [61/425] OK "The Founder of Rolex: Hans Wilsdorf" (107 segments)
[2026-03-23T18:40:40.208Z] [62/425] OK "How To Sell Like Steve Jobs" (86 segments)
[2026-03-23T18:40:48.566Z] [63/425] OK "How Steve Jobs Kept Things Simple" (102 segments)
[2026-03-23T18:40:56.916Z] [64/425] OK "Founders - Michael Jordan In His Own Words" (175 segments)
[2026-03-23T18:41:05.230Z] [65/425] OK "The Financial Genius Behind A Century of Wall Street Scandals: Ivar Kreuger" (134 segments)
[2026-03-23T18:41:13.603Z] [66/425] OK "How Walt Disney Built His Greatest Creation: Disneyland" (144 segments)
[2026-03-23T18:41:22.013Z] [67/425] OK "How Walt Disney Built Himself" (200 segments)
[2026-03-23T18:41:30.393Z] [68/425] OK "George Lucas" (235 segments)
[2026-03-23T18:41:38.789Z] [69/425] OK "Founders - Steven Spielberg" (178 segments)
[2026-03-23T18:41:47.136Z] [70/425] OK "Quentin Tarantino" (120 segments)
[2026-03-23T18:41:55.386Z] [71/425] OK "The Eternal Pursuit of Unhappiness: David Ogilvy" (61 segments)
[2026-03-23T18:42:03.653Z] [72/425] OK "The Lessons of History (Will & Ariel Durant)" (85 segments)
[2026-03-23T18:42:11.999Z] [73/425] OK "Cornelius Vanderbilt (Tycoon's War)" (113 segments)
[2026-03-23T18:42:20.368Z] [74/425] OK "Michael Jordan and Kobe Bryant" (164 segments)
[2026-03-23T18:42:28.797Z] [75/425] OK "Founders - Jay Z's Autobiography" (229 segments)
[2026-03-23T18:42:37.144Z] [76/425] OK "Joseph Duveen: Robber Baron Art Dealer" (115 segments)
[2026-03-23T18:42:45.507Z] [77/425] OK "Monty Moncrief Texas Oil Billionaire" (107 segments)
[2026-03-23T18:42:53.871Z] [78/425] OK "Napoleon's Maxims and Strategy" (113 segments)
[2026-03-23T18:43:02.152Z] [79/425] OK "How To Lose A Few Billion Dollars: Samuel Insull" (155 segments)
[2026-03-23T18:43:10.479Z] [80/425] OK "How To Make A Few Billion Dollars: Brad Jacobs" (130 segments)
[2026-03-23T18:43:18.739Z] [81/425] OK "Oprah" (122 segments)
[2026-03-23T18:43:27.021Z] [82/425] OK "Red Bull's Billionaire Maniac Founder: Dietrich Mateschitz" (120 segments)
[2026-03-23T18:43:35.313Z] [83/425] OK "Jesus" (52 segments)
[2026-03-23T18:43:43.668Z] [84/425] OK "Christian Dior" (110 segments)
[2026-03-23T18:43:51.986Z] [85/425] OK "Les Schwab (Charlie Munger recommended this book)" (172 segments)
[2026-03-23T18:44:00.383Z] [86/425] OK "Charlie Munger (the NEW Poor Charlie's Almanack)" (200 segments)
[2026-03-23T18:44:08.715Z] [87/425] OK "Founders - Reflections from my dinner with Charlie Munger" (58 segments)
[2026-03-23T18:44:17.053Z] [88/425] OK "Tom Murphy (Buffett's favorite manager)" (71 segments)
[2026-03-23T18:44:25.335Z] [89/425] OK "Ted Turner" (157 segments)
[2026-03-23T18:44:33.621Z] [90/425] OK "Anna Wintour" (126 segments)
[2026-03-23T18:44:41.921Z] [91/425] OK "Anna Wintour" (126 segments)
[2026-03-23T18:44:50.266Z] [92/425] OK "Larry Gagosian (Billionaire Art Dealer)" (127 segments)
[2026-03-23T18:44:58.586Z] [93/425] OK "John D. Rockefeller (38 Letters Rockefeller Wrote to His Son)" (184 segments)
[2026-03-23T18:45:06.922Z] [94/425] OK "Founders - Mike Bloomberg" (158 segments)
[2026-03-23T18:45:15.290Z] [95/425] OK "Jimmy Buffett" (129 segments)
[2026-03-23T18:45:23.542Z] [96/425] OK "Herb Kelleher (Southwest Airlines)" (78 segments)
[2026-03-23T18:45:31.812Z] [97/425] OK "Working with Jeff Bezos" (102 segments)
[2026-03-23T18:45:40.117Z] [98/425] OK "The Making of Winston Churchill Part 2" (97 segments)
[2026-03-23T18:45:48.499Z] [99/425] OK "Founders - Sam Zemurray (The Fish That Ate the Whale)" (170 segments)
